step,input,v,v_th_eff,spike
544,1.3,1.29974,1.40417,0
545,1.3,1.29975,1.40283,0
546,1.3,1.29976,1.40149,0
547,1.3,1.29978,1.40015,0
548,1.3,1.29979,1.39882,0
549,1.3,1.2998,1.39749,0
550,1.3,1.29981,1.39617,0
551,1.3,1.29982,1.39485,0
552,1.3,1.29982,1.39354,0
553,1.3,1.29983,1.39223,0
554,1.3,1.29984,1.39092,0
555,1.3,1.29985,1.38962,0
556,1.3,1.29986,1.38833,0
557,1.3,1.29986,1.38703,0
558,1.3,1.29987,1.38575,0
559,1.3,1.29988,1.38446,0
560,1.3,1.29988,1.38318,0
561,1.3,1.29989,1.38191,0
562,1.3,1.29989,1.38064,0
563,1.3,1.2999,1.37937,0
564,1.3,1.2999,1.37811,0
565,1.3,1.29991,1.37685,0
566,1.3,1.29991,1.3756,0
567,1.3,1.29992,1.37435,0
568,1.3,1.29992,1.3731,0
569,1.3,1.29992,1.37186,0
570,1.3,1.29993,1.37062,0
571,1.3,1.29993,1.36939,0
572,1.3,1.29994,1.36816,0
573,1.3,1.29994,1.36693,0
574,1.3,1.29994,1.36571,0
575,1.3,1.29994,1.3645,0
576,1.3,1.29995,1.36328,0
577,1.3,1.29995,1.36207,0
578,1.3,1.29995,1.36087,0
579,1.3,1.29995,1.35967,0
580,1.3,1.29996,1.35847,0
581,1.3,1.29996,1.35728,0
582,1.3,1.29996,1.35609,0
583,1.3,1.29996,1.3549,0
584,1.3,1.29996,1.35372,0
585,1.3,1.29997,1.35255,0
586,1.3,1.29997,1.35137,0
587,1.3,1.29997,1.3502,0
588,1.3,1.29997,1.34904,0
589,1.3,1.29997,1.34788,0
590,1.3,1.29997,1.34672,0
591,1.3,1.29998,1.34557,0
592,1.3,1.29998,1.34442,0
593,1.3,1.29998,1.34327,0
594,1.3,1.29998,1.34213,0
595,1.3,1.29998,1.34099,0
596,1.3,1.29998,1.33985,0
597,1.3,1.29998,1.33872,0
598,1.3,1.29998,1.3376,0
599,1.3,1.29998,1.33647,0
600,1.3,1.29998,1.33535,0
601,1.3,1.29998,1.33424,0
602,1.3,1.29999,1.33312,0
603,1.3,1.29999,1.33202,0
604,1.3,1.29999,1.33091,0
605,1.3,1.29999,1.32981,0
606,1.3,1.29999,1.32871,0
607,1.3,1.29999,1.32762,0
608,1.3,1.29999,1.32653,0
609,1.3,1.29999,1.32544,0
610,1.3,1.29999,1.32436,0
611,1.3,1.29999,1.32328,0
612,1.3,1.29999,1.3222,0
613,1.3,1.29999,1.32113,0
614,1.3,1.29999,1.32006,0
615,1.3,1.29999,1.319,0
616,1.3,1.29999,1.31794,0
617,1.3,1.29999,1.31688,0
618,1.3,1.29999,1.31582,0
619,1.3,1.29999,1.31477,0
620,1.3,1.29999,1.31372,0
621,1.3,1.29999,1.31268,0
622,1.3,1.29999,1.31164,0
623,1.3,1.29999,1.3106,0
624,1.3,1.3,1.30957,0
625,1.3,1.3,1.30854,0
626,1.3,1.3,1.30751,0
627,1.3,1.3,1.30649,0
628,1.3,1.3,1.30547,0
629,1.3,1.3,1.30445,0
630,1.3,1.3,1.30344,0
631,1.3,1.3,1.30243,0
632,1.3,1.3,1.30142,0
633,1.3,1.3,1.30042,0
634,1.3,0.299997,1.29942,1000
635,1.3,0.348768,1.69776,0
636,1.3,0.39516,1.69544,0
637,1.3,0.43929,1.69312,0
638,1.3,0.481267,1.69082,0
639,1.3,0.521197,1.68852,0
640,1.3,0.55918,1.68623,0
641,1.3,0.59531,1.68394,0
642,1.3,0.629678,1.68167,0
643,1.3,0.66237,1.6794,0
644,1.3,0.693468,1.67714,0
645,1.3,0.723049,1.67488,0
646,1.3,0.751187,1.67264,0
647,1.3,0.777953,1.6704,0
648,1.3,0.803413,1.66817,0
649,1.3,0.827632,1.66594,0
650,1.3,0.85067,1.66373,0
651,1.3,0.872584,1.66152,0
652,1.3,0.893429,1.65932,0
653,1.3,0.913258,1.65712,0
654,1.3,0.93212,1.65494,0
655,1.3,0.950061,1.65276,0
656,1.3,0.967128,1.65059,0
657,1.3,0.983362,1.64842,0
658,1.3,0.998805,1.64626,0
659,1.3,1.01349,1.64411,0
660,1.3,1.02747,1.64197,0
661,1.3,1.04076,1.63983,0
662,1.3,1.0534,1.6377,0
663,1.3,1.06543,1.63558,0
664,1.3,1.07687,1.63347,0
665,1.3,1.08775,1.63136,0
666,1.3,1.0981,1.62926,0
667,1.3,1.10795,1.62716,0
668,1.3,1.11732,1.62508,0
669,1.3,1.12623,1.623,0
670,1.3,1.1347,1.62092,0
671,1.3,1.14276,1.61886,0
672,1.3,1.15043,1.6168,0
673,1.3,1.15773,1.61474,0
674,1.3,1.16466,1.6127,0
675,1.3,1.17126,1.61066,0
676,1.3,1.17754,1.60863,0
677,1.3,1.18352,1.6066,0
678,1.3,1.1892,1.60458,0
679,1.3,1.1946,1.60257,0
680,1.3,1.19974,1.60057,0
681,1.3,1.20463,1.59857,0
682,1.3,1.20928,1.59658,0
683,1.3,1.21371,1.59459,0
684,1.3,1.21791,1.59261,0
685,1.3,1.22192,1.59064,0
686,1.3,1.22573,1.58867,0
687,1.3,1.22935,1.58672,0
688,1.3,1.23279,1.58476,0
689,1.3,1.23607,1.58282,0
690,1.3,1.23919,1.58088,0
